random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38293	0.12646941459257674	0.2504930966469428	0.25975374543434576
53			38293	0.07885879492307492	0.13418530351437702	0.16258568572843993
54			38293	0.11617679813905242	0.2077922077922078	0.22750075707559184
55			38293	0.10270751293377013	0.1943634596695821	0.21291245941254056
56			38293	0.08065964525120473	0.16104461371055495	0.17316734800498862
57			38293	0.10690300334589595	0.2015005359056806	0.22313414927822683
58			38293	0.12217096559162702	0.2271844660194175	0.23186088522527443
59			38293	0.11875413747351825	0.2139830508474576	0.24132089757674463
60			38293	0.08443214144102107	0.16298020954598372	0.20652696601211842
61			38293	0.12503098732937132	0.2423038728897716	0.2656559026928505
