random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
42			38263	0.0943155111112439	0.17874396135265697	0.19303700150016273
43			38263	0.11189939532917255	0.18801652892561982	0.23100633773992224
44			38263	0.1265373459992223	0.21727019498607242	0.2418831754664087
45			38263	0.12874384315645412	0.218978102189781	0.24234816769556064
46			38263	0.11955050673090827	0.2017167381974249	0.24523710345390204
47			38263	0.09117489759314869	0.17680608365019013	0.1819082783220844
48			38263	0.12153640690767806	0.20203892493049122	0.23714217223948722
49			38263	0.12360674321738326	0.2201203783319003	0.23986605234569539
50			38263	0.10191318235094159	0.175618073316283	0.2110305733713245
51			38263	0.10395424757628678	0.1914257228315055	0.2176065333297463
