random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38263	0.12878774846082316	0.22014537902388367	0.2510809406093779
53			38263	0.13800961914853282	0.24134312696747115	0.2714195502568777
54			38263	0.1455270958068088	0.2357807652533609	0.27261562295420066
55			38263	0.151345961837039	0.24901185770750991	0.2738118865391738
56			38263	0.1405486721103422	0.24457935819601037	0.2677281591918934
57			38263	0.139700941788591	0.2222222222222222	0.24904885354390885
58			38263	0.14844985666153845	0.23442449841605068	0.2737514443984209
59			38263	0.1383356782380827	0.2281219272369715	0.26263720497167786
60			38263	0.1427230442793587	0.23540856031128407	0.25551301093968243
61			38263	0.1506222872506508	0.24453280318091455	0.2720946053766122
