random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38263	0.112140482416373	0.2242798353909465	0.23885799216983816
53			38263	0.12130188055276918	0.2130801687763713	0.24076723060655414
54			38263	0.10580343870318287	0.2139830508474576	0.23468795783024868
55			38263	0.12969352208453747	0.21592148309705564	0.25605417139027264
56			38263	0.08524809237757033	0.1977800201816347	0.21477206942153232
57			38263	0.12146706699060829	0.23275862068965514	0.2648898718152228
58			38263	0.10207404677410473	0.21413721413721412	0.23650789737998668
59			38263	0.09982881793094768	0.1821561338289963	0.20490681831810562
60			38263	0.12967440324348498	0.2266009852216749	0.25474768466990566
61			38263	0.11169246063280056	0.22287968441814593	0.23997032677607752
