random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38225	0.11926874027228722	0.23202301054650046	0.2549872808798721
53			38225	0.11528603730009966	0.2179226069246436	0.24508618992694206
54			38225	0.10470815066412638	0.21814848762603117	0.22897212083145313
55			38225	0.1223003045943972	0.22	0.22999292596995602
56			38225	0.0931443543145633	0.21138211382113822	0.21736504934867817
57			38225	0.11255071262210936	0.22090729783037474	0.24185486670628256
58			38225	0.10978085441073845	0.22117202268431002	0.23008208849130946
59			38225	0.10297594446699242	0.19464285714285712	0.20077082440982605
60			38225	0.1156355603762237	0.21403508771929824	0.23417129052950672
61			38225	0.12286350750748959	0.23898305084745763	0.24696501359426898
