random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38293	0.15787599899261606	0.2623655913978495	0.2807895251462916
53			38293	0.1551657941619713	0.2505175983436853	0.26523327548748266
54			38293	0.14201128584384504	0.243048403707518	0.2657778313260403
55			38293	0.15551787411106238	0.23965141612200436	0.27766678530404393
56			38293	0.13853071321569987	0.24923391215526045	0.25914303973816244
57			38293	0.1696598911863935	0.2642706131078224	0.2955808835129002
58			38293	0.1650806063482912	0.26805918189730205	0.2899156112043145
59			38293	0.14602102832241853	0.24170212765957447	0.2588707904654573
60			38293	0.16786692263658756	0.2658610271903323	0.29859549848928313
61			38293	0.15711599448904373	0.2532663316582915	0.2703823137714414
