random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
42			38225	0.10310767991933265	0.21778584392014522	0.2205431643985715
43			38225	0.08775383246762146	0.19776119402985073	0.20770190972849242
44			38225	0.12827149927888065	0.22025565388397245	0.2447149941660351
45			38225	0.13172173844610058	0.23201438848920863	0.2520163758438419
46			38225	0.11201596608973476	0.21663442940038682	0.22624456083251931
47			38225	0.10769201031152331	0.22857142857142856	0.23035484234159284
48			38225	0.10935460500618127	0.22392344497607655	0.23593357353468608
49			38225	0.10282976929738598	0.2102376599634369	0.21517927756514155
50			38225	0.10006515040463834	0.20348837209302326	0.2145932864091157
51			38225	0.09813484039708747	0.1982675649663138	0.21429355032186378
