random_seed	Test	Value	Num_Obs	AUPR	F1	MCC
52			38225	0.14439574406303088	0.24660194174757283	0.2560147325502464
53			38225	0.14183372639247005	0.24879459980713597	0.26260116120837873
54			38225	0.1526840901880963	0.2611336032388664	0.277156452739042
55			38225	0.16111464979752074	0.2698961937716263	0.27580610455819965
56			38225	0.13551505798428787	0.2459173871277618	0.2570838607298993
57			38225	0.1483667158773164	0.245014245014245	0.2666887489543102
58			38225	0.15689872997076032	0.25882352941176473	0.2705837893222555
59			38225	0.15585497001763468	0.24999999999999994	0.25785869062748423
60			38225	0.15821333157771425	0.255358807082945	0.2696765669778054
61			38225	0.1602643824331868	0.25660377358490566	0.27017890180148985
